genus	species
Ablabesmyia	longistyla
Ablabesmyia	monilis
Ablabesmyia	phatta
Acamptocladius	reissi
Acamptocladius	submontanus
Acanthocnema (Acanthocnema)	nigrimana
Acanthocnema (Clinoceroides)	glaucescens
Acanthocyclops	robustus
Acanthocyclops	sensitivus
Acanthocyclops	venustus
Acanthocyclops	vernalis
Acantholeberis 	curvirostris
Acartia	bifilosa
Acartia	clausi
Acartia	discaudata
Acentria	ephemerella
Achalcus	flavicollis
Achromadora	ruricola
Achromadora	terricola
Achtheres	percarum
Achyrolimonia	decemmaculata
Acilius	canaliculatus
Acilius	sulcatus
Acricotopus	lucens
Acroloxus	lacustris
Acroperus 	angustatus
Acroperus 	harpae
Acropsilus	niger
Actinolaimus	macrolaimus
Ademon	decrescens
Adicella	filicornis
Adicella	reducta
Adineta	barbata
Adineta	gracilis
Adineta	oculata
Adineta	tuberculosa
Adineta	vaga
Aedes (Aedes)	cinereus
Aedes (Aedimorphus)	vexans
Aeolosoma	beddardi
Aeolosoma	headleyi
Aeolosoma	hemprichi
Aeolosoma	quaternarium
Aeolosoma	tenebrarum
Aeolosoma	variegatum
Aeshna	affinis
Aeshna	caerulea
Aeshna	cyanea
Aeshna	grandis
Aeshna	isosceles
Aeshna	juncea
Aeshna	mixta
Aeshna	mixta group
Agabus	group
Agabus (Acatodes)	arcticus
Agabus (Acatodes)	congener
Agabus (Acatodes)	sturmii
Agabus (Agabus)	labiatus
Agabus (Agabus)	uliginosus
Agabus (Agabus)	undulatus
Agabus (Gaurodytes)	affinis
Agabus (Gaurodytes)	biguttatus
Agabus (Gaurodytes)	bipustulatus
Agabus (Gaurodytes)	brunneus
Agabus (Gaurodytes)	conspersus
Agabus (Gaurodytes)	didymus
Agabus (Gaurodytes)	guttatus
Agabus (Gaurodytes)	melanarius
Agabus (Gaurodytes)	nebulosus
Agabus (Gaurodytes)	paludosus
Agabus (Gaurodytes)	striolatus
Agabus (Gaurodytes)	unguicularis
Agapetus	delicatulus
Agapetus	fuscipes
Agapetus	ochripes
Agraylea	multipunctata
Agraylea	sexmaculata
Agrenia	bidenticulata
Agriotypus	armatus
Agrypnetes	crassicornis
Agrypnia	group
Agrypnia	obsoleta
Agrypnia	obsoleta group
Agrypnia	pagetana
Agrypnia	picta
Agrypnia	varia
Alaimus	primitivus
Alainites	muticus
Albaxona (Vietsaxona)	lundbladi
Albertia	naidis
Albia	stationis
Alboglossiphonia	heteroclita
Allogamus	auricollis
Allohelea	tessellata
Allolobophora	chlorotica
Allolobophora	rosea
Allotrichia	pallicornis
Alluaudomyia	riparia
Alona 	affinis
Alona 	costata
Alona 	elegans
Alona 	guttata
Alona 	intermedia
Alona 	karelica
Alona 	quadrangularis
Alona 	rustica
Alona 	weltneri
Alonella 	excisa
Alonella 	exigua
Alonella 	nana
Alonopsis 	elongata
Amalorrhynchus	melanarius
Ameletus	inopinatus
Amphinemura	standfussi
Amphinemura	sulcicollis
Anabolia	brevipennis
Anabolia	nervosa
Anacaena	bipustulata
Anacaena	globulus
Anacaena	limbata
Anacaena	lutescens
Anagrus	incarnatus
Anasimyia	contracta
Anasimyia	interpuncta
Anasimyia	lineata
Anasimyia	lunulata
Anasimyia	transfuga
Anatopynia	plumipes
Anax	imperator
Anax	junius
Anax	parthenope
Anchistropus 	emarginatus
Ancylus	fluviatilis
Anepsiomyia	flaviventris
Anisus (Anisus)	leucostoma
Anisus (Anisus)	spirorbis
Anisus (Disculifer)	vortex
Anisus (Disculifer)	vorticulus
Anodonta	anatina
Anodonta	cygnea
Anodonta	woodiana
Anopheles (Anopheles)	algeriensis
Anopheles (Anopheles)	algeriensis group
Anopheles (Anopheles)	atroparvus
Anopheles (Anopheles)	atroparvus group
Anopheles (Anopheles)	claviger
Anopheles (Anopheles)	daciae
Anopheles (Anopheles)	messeae
Anopheles (Anopheles)	plumbeus
Antichaeta	analis
Antichaeta	atriseta
Antichaeta	brevipennis
Antichaeta	obliviosa
Antocha (Antocha)	vitripennis
Antrobathynella	stammeri
Anuraeopsis	fissa
Anurida	tullbergi
Apatania	auricula
Apatania	muliebris
Apatania	nielseni
Apatania	wallengreni
Aphanolaimus	aquaticus
Aphanolaimus	attentus
Aphelenchoides	parietinus
Aphelenchoides	saprophilus
Aphelocheirus	aestivalis
Aphrosylus	mitis
Aplexa	hypnorum
Aporcelaimus	obscurus
Aporrectodea	caliginosa
Apsectrotanypus	trifascipennis
Aquarius	najas
Aquarius	paludum
Arcteonais	lomondi
Arctoconopa	melampodia
Arctocorisa	carinata
Arctocorisa	germari
Arctodiaptomus (Arctodiaptomus)	laticeps
Arctodiaptomus (Arctodiaptomus)	wierzejskii
Arctodiaptomus (Rhabdodiaptomus)	alpinus
Arctopelopia	barbitarsis
Arctopelopia	griseipennis
Arctopelopia	melanosoma
Arctophila	superbiens
Argulus	coregoni
Argulus	foliaceus
Argyra	argentina
Argyra	argyria
Argyra	diaphana
Argyra	elongata
Argyra	ilonae
Argyra	leucocephala
Argyra	perplexa
Argyra	vestita
Argyroneta	aquatica
Arrenurus	curtus
Arrenurus	luteus
Arrenurus	mollis
Arrenurus (Arrenurus)	abbreviator
Arrenurus (Arrenurus)	affinis
Arrenurus (Arrenurus)	albator
Arrenurus (Arrenurus)	batillifer
Arrenurus (Arrenurus)	bicuspidator
Arrenurus (Arrenurus)	bruzelii
Arrenurus (Arrenurus)	claviger
Arrenurus (Arrenurus)	compactus
Arrenurus (Arrenurus)	crassicaudatus
Arrenurus (Arrenurus)	crenatus
Arrenurus (Arrenurus)	cuspidifer
Arrenurus (Arrenurus)	fimbriatus
Arrenurus (Arrenurus)	latus
Arrenurus (Arrenurus)	leuckarti
Arrenurus (Arrenurus)	maculator
Arrenurus (Arrenurus)	neumani
Arrenurus (Arrenurus)	nobilis
Arrenurus (Arrenurus)	ornatus
Arrenurus (Arrenurus)	robustus
Arrenurus (Arrenurus)	tricuspidator
Arrenurus (Arrenurus)	virens
Arrenurus (Megaluracarus)	adnatus
Arrenurus (Megaluracarus)	buccinator
Arrenurus (Megaluracarus)	cylindratus
Arrenurus (Megaluracarus)	geminus
Arrenurus (Megaluracarus)	globator
Arrenurus (Megaluracarus)	mediorotundatus
Arrenurus (Megaluracarus)	membranator
Arrenurus (Megaluracarus)	muelleri
Arrenurus (Megaluracarus)	pyriformis
Arrenurus (Megaluracarus)	scourfieldi
Arrenurus (Megaluracarus)	securiformis
Arrenurus (Megaluracarus)	soari
Arrenurus (Megaluracarus)	stjoerdalensis
Arrenurus (Megaluracarus)	zachariae
Arrenurus (Micruracarus)	bifidicodulus
Arrenurus (Micruracarus)	bipapillosus
Arrenurus (Micruracarus)	biscissus
Arrenurus (Micruracarus)	britannorum
Arrenurus (Micruracarus)	forpicatus
Arrenurus (Micruracarus)	inexploratus
Arrenurus (Micruracarus)	integrator
Arrenurus (Micruracarus)	longiusculus
Arrenurus (Micruracarus)	novus
Arrenurus (Micruracarus)	octagonus
Arrenurus (Micruracarus)	perforatus
Arrenurus (Micruracarus)	sculptus
Arrenurus (Micruracarus)	sinuator
Arrenurus (Truncaturus)	fontinalis
Arrenurus (Truncaturus)	knauthei
Arrenurus (Truncaturus)	nodosus
Arrenurus (Truncaturus)	stecki
Arrenurus (Truncaturus)	truncatellus
Artemia	salina
Arthroplea	congener
Ascomorpha	ecaudis
Ascomorpha	ovalis
Ascomorpha	saltans
Ascomorphella	volvocicola
Asellus	aquaticus
Aspelta	circinator
Aspelta	clydona
Asplanchna (Asplanchna)	herricki
Asplanchna (Asplanchna)	priodonta
Asplanchna (Asplanchnella)	brightwelli
Asplanchna (Asplanchnella)	girodi
Asplanchna (Asplanchnella)	intermedia
Asplanchna (Asplanchnella)	sieboldi
Asplanchnopus	multiceps
Assiminea	grayana
Astacus	astacus
Astacus	leptodactylus
Astegistes	pilosus
Atherix	ibis
Athripsodes	albifrons
Athripsodes	aterrimus
Athripsodes	bilineatus
Athripsodes	cinereus
Athripsodes	commutatus
Atractides (Atractides)	denticulatus
Atractides (Atractides)	elongatus
Atractides (Atractides)	gibberipalpis
Atractides (Atractides)	latipalpis
Atractides (Atractides)	longipes
Atractides (Atractides)	magnirostris
Atractides (Atractides)	nodipalpis
Atractides (Atractides)	pachydermis
Atractides (Atractides)	pavesii
Atractides (Atractides)	spinipes
Atractides (Atractides)	tener
Atractides (Octomegapus)	octoporus
Atrichobrunettia (Mirousiella)	angustipennis
Atrichopogon (Atrichopogon)	aethiops
Atrichopogon (Atrichopogon)	brunnipes
Atrichopogon (Atrichopogon)	fuscus
Atrichopogon (Atrichopogon)	minutus
Atrichopogon (Atrichopogon)	pavidus
Atrichopogon (Lophomyidium)	rostratus
Atrichopogon (Meloehelea)	lucorum
Atrichopogon (Meloehelea)	oedemerarum
Atrichopogon (Meloehelea)	winnertzi
Atrichopogon (Psammopogon)	muelleri
Atrichopogon (Psilokempia)	appendiculatus
Atrichopogon (Psilokempia)	forcipatus
Atrichops	crassipes
Atrochus	tentaculatus
Attheyella (Attheyella)	crassa
Attheyella (Brehmiella)	dentata
Attheyella (Brehmiella)	trispinosa
Attheyella (Brehmiella)	wulmeri
Attheyella (Elaphoidella)	bidens
Attheyella (Elaphoidella)	gracilis
Aturus	brachypus
Aturus	crinitus
Aturus	intermedius
Aturus	scaber
Atylotus	fulvus
Atylotus	latistriatus
Atylotus	plebeius
Atylotus	rusticus
Atypophthalmus	inustus
Augyles	hispidulus
Augyles	maritimus
Aulacochthebius	exaratus
Aulodrilus	limnobius
Aulodrilus	pigueti
Aulodrilus	pluriseta
Austrolimnophila (Austrolimnophila)	ochracea
Austropotamobius	pallipes
Axonopsis (Axonopsis)	complanata
Axonopsis (Hexaxonopsis)	romijni
Baetis	buceratus
Baetis	fuscatus
Baetis	group
Baetis	rhodani
Baetis	scambus
Baetis	scambus group
Baetis	vernus
Bagous (Abagous)	glabrirostris
Bagous (Abagous)	lutosus
Bagous (Abagous)	lutulentus
Bagous (Abagous)	puncticollis
Bagous (Abagous)	robustus
Bagous (Bagous)	argillaceus
Bagous (Bagous)	binodulus
Bagous (Bagous)	brevis
Bagous (Bagous)	collignensis
Bagous (Bagous)	czwalinae
Bagous (Bagous)	diglyptus
Bagous (Bagous)	frit
Bagous (Bagous)	limosus
Bagous (Bagous)	longitarsis
Bagous (Bagous)	lutulosus
Bagous (Bagous)	nodulosus
Bagous (Bagous)	subcarinatus
Bagous (Bagous)	tempestivus
Bagous (Cyprus)	tubulus
Bagous (Ephimeropus)	petro
Bagous (Hydronomus)	alismatis
Balea (Alinda)	biplicata
Ballistura	borealis
Ballistura	schoetti
Bandakia	concreta
Barbaxonella	angulata
Bathynella	natans
Bathyomphalus	contortus
Bathythrix	argentata
Bazarella	neglecta
Bdellocephala	punctata
Beauchampia	crucigera
Beauchampiella	eudactylota
Beraea	maurus
Beraea	pullata
Beraeodes	minutus
Beris	clavipes
Beris	fuscipes
Beris	vallata
Berosus (Berosus)	affinis
Berosus (Berosus)	luridus
Berosus (Berosus)	signaticollis
Berosus (Enoplurus)	fulvus
Bezzia (Bezzia)	coracina
Bezzia (Bezzia)	decincta
Bezzia (Bezzia)	flavicornis
Bezzia (Bezzia)	nigritula
Bezzia (Bezzia)	nobilis
Bezzia (Bezzia)	ornata
Bezzia (Bezzia)	pygmaea
Bezzia (Bezzia)	winnertziana
Bezzia (Homobezzia)	annulipes
Bezzia (Homobezzia)	bicolor
Bezzia (Homobezzia)	circumdata
Bezzia (Homobezzia)	fascispinosa
Bezzia (Homobezzia)	leucogaster
Bezzia (Homobezzia)	multiannulata
Bezzia (Homobezzia)	taeniata
Bezzia (Pygobezzia)	calceata
Bidessus	minutissimus
Bidessus	unistriatus
Bithynia (Bithynia)	tentaculata
Bithynia (Codiella)	leachii
Boreoclytocerus	dalii
Boreoclytocerus	ocellaris
Boreoclytocerus	rivosus
Bosmina 	coregoni
Bosmina 	longirostris
Bosmina 	longispina
Bothrioneurum	vejdovskyanum
Bothrioplana	semperi
Bothromesostoma	personatum
Brachionus	angularis
Brachionus	calyciflorus
Brachionus	leydigi
Brachionus	patulus
Brachionus	plicatilis
Brachionus	quadridentatus
Brachionus	urceolaris
Brachycentrus	subnubilus
Brachycercus	harrisellus
Brachypoda (Brachypoda)	versicolor
Brachypoda (Ocybrachypoda)	celeripes
Brachypogon (Isohelea)	nitidula
Brachypogon (Isohelea)	perpusilla
Brachypogon (Isohelea)	sociabilis
Brachyptera	putata
Brachyptera	risi
Brachytron	pratense
Bradleycypris	affinis
Bradleycypris	fuscatus
Bradleycypris	hirsutus
Bradleycypris	obliquus
Bradyscela	clauda
Branchiobdella	astaci
Branchiura	sowerbyi
Brillia	bifida
Brillia	flavifrons
Bryceella	stylata
Bryceella	tenella
Brychius	elevatus
Bryocamptus (Arcticocamptus)	cuspidatus
Bryocamptus (Arcticocamptus)	rhaeticus
Bryocamptus (Bryocamptus)	minutus
Bryocamptus (Limnocamptus)	echinatus
Bryocamptus (Limnocamptus)	praegeri
Bryocamptus (Rheocamptus)	pygmaeus
Bryocamptus (Rheocamptus)	typhlops
Bryocamptus (Rheocamptus)	weberi
Bryocamptus (Rheocamptus)	zschokkei
Bryophaenocladius	aestivus
Bryophaenocladius	femineus
Bryophaenocladius	flexidens
Bryophaenocladius	furcatus
Bryophaenocladius	ictericus
Bryophaenocladius	illimbatus
Bryophaenocladius	inconstans
Bryophaenocladius	muscicola
Bryophaenocladius	nidorum
Bryophaenocladius	nitidicollis
